# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	115	1080	-	GJIDJL_00001	alx	TerC family membrane protein Alx	BlastRules:WP_001098806, GO:0005886, RefSeq:WP_001098806.1, SO:0001217, UniParc:UPI00003B25FB, UniRef:UniRef100_P42601, UniRef:UniRef50_P42601, UniRef:UniRef90_P42601
contig_1	cds	1363	2349	-	GJIDJL_00002	ygjR	Uncharacterized oxidoreductase YgjR	COG:COG0673, COG:R, EC:1.-.-.-, GO:0000166, GO:0016491, RefSeq:WP_001387091.1, SO:0001217, UniParc:UPI000219C310, UniRef:UniRef100_B7LH22, UniRef:UniRef50_Q8XAJ0, UniRef:UniRef90_P42599
contig_1	cds	2428	3111	-	GJIDJL_00003	ygjQ	Uncharacterized protein YgjQ	GO:0005886, KEGG:K03748, RefSeq:WP_001183049.1, SO:0001217, UniParc:UPI000176BFBA, UniRef:UniRef100_A0A0B0XQ36, UniRef:UniRef50_P42598, UniRef:UniRef90_P42598
contig_1	cds	3188	3691	-	GJIDJL_00004	ygjP	UTP pyrophosphatase	COG:COG1451, COG:R, EC:3.6.1.-, GO:0000166, GO:0009117, GO:0036221, KEGG:K07043, RefSeq:WP_001297151.1, SO:0001217, UniParc:UPI00005EED13, UniRef:UniRef100_A0A066RJ47, UniRef:UniRef50_P42597, UniRef:UniRef90_P42597
contig_1	cds	3776	4912	+	GJIDJL_00005	rlmG	23S rRNA (guanine(1835)-N(2))-methyltransferase RlmG	COG:COG2813, COG:J, EC:2.1.1.174, GO:0003676, GO:0005737, GO:0008990, GO:0031167, GO:0052916, RefSeq:WP_000018690.1, SO:0001217, UniParc:UPI00005EED14, UniRef:UniRef100_A0A061KTQ0, UniRef:UniRef50_P42596, UniRef:UniRef90_P42596
contig_1	cds	5183	5599	+	GJIDJL_00006	higA	type II toxin-antitoxin system antitoxin HigA	BlastRules:WP_000560266, BlastRules:WP_003409886, BlastRules:WP_010920873, GO:0001046, GO:0006355, KEGG:K18831, RefSeq:WP_000560266.1, SO:0001217, UniParc:UPI0000047C84, UniRef:UniRef100_P67701, UniRef:UniRef50_P67701, UniRef:UniRef90_P67701
contig_1	cds	5644	7662	-	GJIDJL_00007	fadH	NADPH-dependent 2,4-dienoyl-CoA reductase	BlastRules:WP_000121433, COG:C, COG:COG1902, EC:1.3.1.34, GO:0008670, GO:0010181, GO:0033543, GO:0046872, GO:0051539, GO:0071949, KEGG:K00219, RefSeq:WP_000121472.1, SO:0001217, UniParc:UPI0001887C53, UniRef:UniRef100_A0A0A8KKM0, UniRef:UniRef50_P42593, UniRef:UniRef90_P42593
contig_1	ncRNA	7845	7926	+	GJIDJL_00008	naRNA4	Nucleoid-associated noncoding RNA 4 (CssrE)	RFAM:RF02564, SO:0000655
contig_1	cds	7988	10339	-	GJIDJL_00009	ygjK	alpha-glucosidase	COG:COG1626, COG:G, EC:3.2.1.-, EC:3.2.1.20, GO:0004555, GO:0005991, KEGG:K03931, RefSeq:WP_000695479.1, SO:0001217, UniParc:UPI000176BFBB, UniRef:UniRef100_A0A066RJ54, UniRef:UniRef50_P42592, UniRef:UniRef90_A0A2R3NK36
contig_1	cds	10356	11426	-	GJIDJL_00010	ygjJ	protein YgjJ	RefSeq:WP_000767653.1, SO:0001217, UniParc:UPI0001887C52, UniRef:UniRef100_A0AAP8LE68, UniRef:UniRef50_P42591, UniRef:UniRef90_P42591
contig_1	cds	11560	12993	-	GJIDJL_00011	ygjI	Inner membrane transporter YgjI	GO:0005886, GO:0022857, RefSeq:WP_001285457.1, SO:0001217, UniParc:UPI0001887C51, UniRef:UniRef100_B7LH09, UniRef:UniRef50_P42590, UniRef:UniRef90_P42590
contig_1	cds	13056	13505	-	GJIDJL_00012	ebgC	beta-galactosidase subunit beta	EC:3.2.1.23, GO:0005829, RefSeq:WP_001219954.1, SO:0001217, UniParc:UPI0000129B39, UniRef:UniRef100_P0AC73, UniRef:UniRef50_P0AC73, UniRef:UniRef90_P0AC73
contig_1	cds	13502	16594	-	GJIDJL_00013	ebgA	beta-galactosidase subunit alpha	EC:3.2.1.23, GO:0004565, GO:0005990, GO:0009341, GO:0030246, KEGG:K01190, RefSeq:WP_001082869.1, SO:0001217, UniParc:UPI00005EFE70, UniRef:UniRef100_A0A086U5G1, UniRef:UniRef50_P06864, UniRef:UniRef90_P06864
contig_1	cds	16778	17761	-	GJIDJL_00014	ebgR	transcriptional regulator EbgR	COG:COG1609, COG:K, KEGG:K12113, RefSeq:WP_000212470.1, SO:0001217, UniParc:UPI00005EED19, UniRef:UniRef100_A0A066RJ61, UniRef:UniRef50_P06846, UniRef:UniRef90_A0A037YKQ0
contig_1	cds	17980	18312	+	GJIDJL_00015	ygjH	tRNA-binding protein	COG:COG0073, COG:J, GO:0000049, GO:0042803, RefSeq:WP_000450589.1, SO:0001217, UniParc:UPI00005AAA69, UniRef:UniRef100_J7R5Z6, UniRef:UniRef50_P42589, UniRef:UniRef90_P42589
contig_1	cds	18354	19844	-	GJIDJL_00016	ygjG	putrescine aminotransferase	COG:COG4992, COG:E, EC:2.6.1.82, GO:0009447, GO:0019161, GO:0019477, GO:0030170, GO:0033094, GO:0042802, SO:0001217, UniParc:UPI00005EED1A, UniRef:UniRef100_A0A0J1ZBZ1, UniRef:UniRef50_P42588, UniRef:UniRef90_P42588
contig_1	cds	20151	21671	+	GJIDJL_00017	aer	aerotaxis sensor receptor Aer	BlastRules:WP_000094721, COG:COG2202, COG:T, GO:0004888, GO:0005886, GO:0006935, GO:0007165, GO:0042802, GO:0052131, RefSeq:WP_000094682.1, SO:0001217, UniParc:UPI00005AAA67, UniRef:UniRef100_A0A066Q1F6, UniRef:UniRef50_P50466, UniRef:UniRef90_P50466
