# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	1	1260	-	CGEIEN_001	-	-	-	-	-	-
contig_1	cds	1275	1640	-	CGEIEN_002	-	-	-	-	-	-
contig_1	cds	1647	1778	-	CGEIEN_003	-	-	-	-	-	-
contig_1	cds	1775	2140	-	CGEIEN_004	-	-	-	-	-	-
contig_1	cds	2147	2332	-	CGEIEN_005	-	-	-	-	-	-
contig_1	cds	2343	3011	-	CGEIEN_006	-	-	-	-	-	-
contig_1	cds	3192	3353	+	CGEIEN_007	-	-	-	-	-	-
contig_1	cds	3314	4141	-	CGEIEN_008	-	-	-	-	-	-
contig_1	cds	4150	7971	-	CGEIEN_009	-	-	-	-	-	-
contig_1	cds	7979	15766	-	CGEIEN_010	-	-	-	-	-	-
contig_1	cds	16051	29217	-	CGEIEN_011	-	-	-	-	-	-
