# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	115	1080	-	GJIDJL_00001	613.0	6.7e-225	1.0	1.0	1.0	BlastRules:WP_001098806
contig_1	cds	1363	2349	-	GJIDJL_00002	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B7LH22
contig_1	cds	2428	3111	-	GJIDJL_00003	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0B0XQ36
contig_1	cds	3188	3691	-	GJIDJL_00004	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066RJ47
contig_1	cds	3776	4912	+	GJIDJL_00005	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A061KTQ0
contig_1	cds	5183	5599	+	GJIDJL_00006	268.0	1.1e-94	1.0	1.0	1.0	BlastRules:WP_000560266
contig_1	cds	5644	7662	-	GJIDJL_00007	1317.0	0.0	1.0	1.0	0.987	BlastRules:WP_000121433
contig_1	ncRNA	7845	7926	+	GJIDJL_00008	70.3	3.9e-10	-	-	-	RFAM:RF02564
contig_1	cds	7988	10339	-	GJIDJL_00009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066RJ54
contig_1	cds	10356	11426	-	GJIDJL_00010	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAP8LE68
contig_1	cds	11560	12993	-	GJIDJL_00011	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_B7LH09
contig_1	cds	13056	13505	-	GJIDJL_00012	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P0AC73
contig_1	cds	13502	16594	-	GJIDJL_00013	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A086U5G1
contig_1	cds	16778	17761	-	GJIDJL_00014	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A066RJ61
contig_1	cds	17980	18312	+	GJIDJL_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_J7R5Z6
contig_1	cds	18354	19844	-	GJIDJL_00016	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J1ZBZ1
contig_1	cds	20151	21671	+	GJIDJL_00017	835.0	1.9e-306	1.0	1.0	0.992	BlastRules:WP_000094721
