#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	69429	69518	+	GJIDJL_00068	3.2	6.5		SO:0001217, UniParc:UPI000232209C, UniRef:UniRef100_A0A0K3U889, UniRef:UniRef50_A0A0K3U889, UniRef:UniRef50_A0A376KL26, UniRef:UniRef90_A0A0K3U889, UniRef:UniRef90_UPI000A4183AB
contig_1	158670	158843	-	GJIDJL_00154	6.5	9.8		RefSeq:WP_001387062.1, SO:0001217, UniParc:UPI0001887D34, UniRef:UniRef100_A0A2X7RJU0, UniRef:UniRef50_A0A2X7RJU0, UniRef:UniRef90_A0A2X7RJU0
contig_1	160164	160280	+	GJIDJL_00157	3.9	11.7		SO:0001217, UniRef:UniRef50_A0A3S4LYL6, UniRef:UniRef90_A0A3S4LYL6
contig_1	160582	160764	+	GJIDJL_00158	7.2	9.2		RefSeq:WP_001216313.1, SO:0001217, UniParc:UPI000219C653, UniRef:UniRef100_A0A2H3M0T2, UniRef:UniRef50_A0A0L1BKW7, UniRef:UniRef90_A0A2H3M0T2
contig_1	161604	161837	+	GJIDJL_00160	8.9	4.4		RefSeq:WP_000124181.1, SO:0001217, UniParc:UPI00016D564D, UniRef:UniRef100_A0A0B0Z9W0, UniRef:UniRef50_A0A1V2SXY6, UniRef:UniRef90_A0A1V2SXY6
contig_1	169526	169849	+	GJIDJL_00168	12.1	10.7		RefSeq:WP_001387054.1, SO:0001217, UniParc:UPI0001887CEE, UniRef:UniRef100_A0A376XSS5, UniRef:UniRef50_A0A377EA34, UniRef:UniRef90_A0A377EA34
contig_1	184176	184394	+	GJIDJL_00184	8.2	8.8		
contig_1	195312	195431	+	GJIDJL_00192	4.6	6.5		SO:0001217, UniParc:UPI000232207F, UniRef:UniRef100_A0A377L9W8, UniRef:UniRef50_A0A3S4K372, UniRef:UniRef90_A0A3S4K372
contig_1	196380	196946	+	GJIDJL_00194	21.2	9.3		RefSeq:WP_000587872.1, SO:0001217, UniParc:UPI0001B53088, UniRef:UniRef100_A0AAW7USZ3, UniRef:UniRef50_A0A0B0VS77, UniRef:UniRef90_A0A2X3JQ57
contig_1	214167	214460	-	GJIDJL_00209	11.4	9.1		RefSeq:WP_001091149.1, SO:0001217, UniParc:UPI0001887CB0, UniRef:UniRef100_A0A2H3M860, UniRef:UniRef50_A0A2H3M860, UniRef:UniRef90_A0A2H3M860
contig_1	498273	498452	+	GJIDJL_00493	6.7	8.8		RefSeq:WP_000611928.1, SO:0001217, UniParc:UPI000174CE37, UniRef:UniRef100_A0A066RG88, UniRef:UniRef50_A0A066RG88, UniRef:UniRef90_A0A066RG88
contig_1	578064	578945	+	GJIDJL_00582	35.1	5.7		RefSeq:WP_000655916.1, SO:0001217, UniParc:UPI0001887C8B, UniRef:UniRef100_A0A0B1NPH5, UniRef:UniRef50_A0A2X4UQG9, UniRef:UniRef90_A0A2X4UQG9
contig_1	747172	747402	-	GJIDJL_00745	8.8	9.1		SO:0001217, UniParc:UPI0001A5BD94, UniRef:UniRef100_A0A094VSI8, UniRef:UniRef50_A0A0E2LHC7, UniRef:UniRef90_A0A0E2LHC7
contig_1	953171	953335	-	GJIDJL_00960	6.5	9.4		SO:0001217, UniParc:UPI000175DC98, UniRef:UniRef100_A0A377D1W3, UniRef:UniRef50_A0A377D1W3, UniRef:UniRef90_A0A0I0B9N5, UniRef:UniRef90_A0A377D1W3
